Rank in 2020,Institution Name,Country,Overall Score
396,The American University in Cairo,Egypt,28.4
399,University of St Gallen (HSG),Switzerland,28.3
399,Wake Forest University,United States,28.3
401,Huazhong University of Science and Technology,China,28.2
401,La Trobe University,Australia,28.2
401,National University of Sciences and Technology (NUST) Islamabad,Pakistan,28.2
401,Universidad Austral,Argentina,28.2
401,University of The Witwatersrand,South Africa,28.2
401,Washington State University,United States,28.2
407,University of Coimbra,Portugal,28.1
408,HUFS ñ Hankuk (Korea) University of Foreign Studies,South Korea,28
408,Sharif University of Technology,Iran,28
408,University of Tennessee,United States,28
411,Johannes Gutenberg Universit‰t Mainz,Germany,27.9
411,National Sun Yat-sen University,Taiwan,27.9
413,Chung-Ang University,South Korea,27.8
413,Johannes Kepler Universit‰t Linz (JKU),Austria,27.8
413,Shanghai University,China,27.8
416,Laval University,Canada,27.7
417,"Goldsmiths, University of London",United Kingdom,27.6
418,L.N. Gumilyov Eurasian National University,Kazakhstan,27.5
419,Ben Gurion University of The Negev,Israel,27.4
419,Tulane University,United States,27.4
421,Illinois Institute of Technology,United States,27.3
421,Universidade Nova de Lisboa,Portugal,27.3
421,University of Iowa,United States,27.3
424,Flinders University,Australia,27.2
424,Universit‡ degli Studi di Napoli Federico II,Italy,27.2
424,Universit‰t Konstanz,Germany,27.2
427,National Central University,Taiwan,27.1
427,Stellenbosch University,South Africa,27.1
429,Dublin City University (DCU),Ireland,27
429,Tianjin University,China,27
429,University of Liege,Belgium,27
432,Boston College,United States,26.7
432,Ruhr-Universit‰t Bochum,Germany,26.7
432,Universidad de Zaragoza,Spain,26.7
435,Universidad PolitÈcnica de Madrid,Spain,26.5
436,Beijing Institute of Technology,China,26.4
436,ITMO University,Russia,26.4
438,Universidad de Belgrano,Argentina,26.3
439,Peter the Great St.Petersburg Polytechnic University,Russia,26.2
439,Universidade Federal de S„o Paulo (UNIFESP),Brazil,26.2
439,University of Saskatchewan,Canada,26.2
442,Aston University,United Kingdom,26
442,Auckland University of Technology,New Zealand,26
442,Bond University,Australia,26
442,Chiba University,Japan,26
442,Colorado State University,United States,26
442,UCSI University,Malaysia,26
448,Florida State University,United States,25.8
448,Hitotsubashi University,Japan,25.8
448,Universit‡ degli Studi di Firenze (UNIFI),Italy,25.8
451,KoÁ University,Turkey,25.7
451,"National University of Science and Technology ""MISIS""",Russia,25.7
451,Xiamen University,China,25.7
454,Dongguk University,South Korea,25.6
454,National Technical University of Athens,Greece,25.6
454,Sogang University,South Korea,25.6
454,"University of California, Riverside (UCR)",United States,25.6
458,UniversitÈ de Bordeaux,France,25.5
458,Vilnius University,Lithuania,25.5
460,"University of Maryland, Baltimore County",United States,25.4
461,Oregon State University,United States,25.3
462,Beihang University,China,25.2
462,Concordia University,Canada,25.2
462,Julius-Maximilians-Universit‰t W¸rzburg,Germany,25.2
462,Swansea University,United Kingdom,25.2
462,The Catholic University of Korea,South Korea,25.2
462,University of Science and Technology Beijing,China,25.2
468,Brandeis University,United States,25.1
468,Pontificia Universidad Javeriana,Colombia,25.1
468,Shandong University,China,25.1
468,Universit‰t des Saarlandes,Germany,25.1
468,Western Sydney University,Australia,25.1
468,Yokohama City University,Japan,25.1
474,Pontificia Universidad CatÛlica del Per˙,Peru,25
474,The University of Georgia,United States,25
474,University of Delhi,India,25
477,Singapore Management University,Singapore,24.9
478,Christian-Albrechts-Universit‰t zu Kiel,Germany,24.8
478,University of Stirling,United Kingdom,24.8
480,South China University of Technology,China,24.7
480,Universidad Externado de Colombia,Colombia,24.7
482,"Universidade Estadual Paulista ""J˙lio de Mesquita Filho""",Brazil,24.6
482,Universiti Teknologi Petronas (Petronas),Malaysia,24.6
484,Aberystwyth University,United Kingdom,24.5
484,Chang Gung University,Taiwan,24.5
484,Jilin University,China,24.5
484,University of Canberra,Australia,24.5
484,Wayne State University,United States,24.5
489,Amirkabir University of Technology,Iran,24.4
489,Universidad de Santiago de Chile (USACH),Chile,24.4
491,Indian Institute of Technology Guwahati (IITG),India,24.3
491,Lappeenranta University of Technology,Finland,24.3
491,M.O.Auezov South Kazakhstan State University,Kazakhstan,24.3
491,Universidad de Montevideo,Uruguay,24.3
491,UniversitÈ Aix-Marseille,France,24.3
491,University of Delaware,United States,24.3
491,V.N. Karazin Kharkiv National University,Ukraine,24.3
498,Czech Technical University In Prague,Czech Republic,24.2
498,UniversitÈ de Montpellier,France,24.2
498,University of Eastern Finland,Finland,24.2
